Incident_ID,Company_Name,Industry,Attack_Type,Date_of_Incident,Breach_Size,Financial_Loss,Country,Attack_Vector,Mitigation_Time,Year,Month,Day
1,White Inc,Retail,Ransomware,2018-08-27,6525846.0,506815.46,Italy,DDoS Attack,25,2018,8,27
2,Vasquez Plc,Telecommunications,Ransomware,2018-05-24,9114896.0,1668001.94,Netherlands,Compromised Vendor,29,2018,5,24
3,Gardner Llc,Retail,Supply Chain Attack,2018-07-04,3412886.0,4073566.14,Belgium,Compromised Vendor,22,2018,7,4
4,Pena-Kirk,Manufacturing,Ransomware,2018-02-05,5829814.0,3211005.93,Belgium,Compromised Vendor,60,2018,2,5
5,"Garcia, Butler And Kennedy",Healthcare,Ransomware,2019-04-05,9996201.0,4033042.07,Uk,Compromised Vendor,59,2019,4,5
6,Reyes And Sons,Telecommunications,Supply Chain Attack,2018-05-12,817225.0,1534707.81,Sweden,Phishing,8,2018,5,12
7,Anderson-Vincent,Healthcare,Ransomware,2018-08-14,8813038.0,1430745.12,Belgium,Compromised Vendor,14,2018,8,14
8,"Alvarado, Potts And Brown",Manufacturing,Ransomware,2018-07-30,4950575.0,1859546.43,Netherlands,Compromised Vendor,21,2018,7,30
9,Morton Ltd,Healthcare,Ransomware,2019-03-31,5256555.0,883069.02,Spain,Compromised Vendor,53,2019,3,31
10,"Sanchez, Phelps And Liu",Tech,Data Breach,2018-01-05,3600607.0,682214.47,Belgium,Phishing,42,2018,1,5
11,Green-Koch,Healthcare,Phishing,2018-05-10,9462323.0,1670102.69,Sweden,DDoS Attack,39,2018,5,10
12,Best Llc,Telecommunications,Supply Chain Attack,2018-04-27,1461135.0,4963326.98,Sweden,Compromised Vendor,33,2018,4,27
13,Olson Group,Healthcare,Ransomware,2018-04-01,6036951.0,942825.02,Sweden,DDoS Attack,37,2018,4,1
14,Morales Plc,Healthcare,Phishing,2018-04-10,4950575.0,1353999.87,Italy,Compromised Vendor,12,2018,4,10
15,"Walker, Kelly And Mcdaniel",Finance,Ransomware,2019-05-08,6207687.0,457622.66,Sweden,DDoS Attack,55,2019,5,8
16,"Williams, Mclaughlin And Taylor",Tech,Ransomware,2019-01-04,7791725.0,4653344.49,Spain,Phishing,35,2019,1,4
17,Phillips-Perry,Telecommunications,Phishing,2019-10-28,9798075.0,1147945.09,Denmark,Phishing,53,2019,10,28
18,"Gonzales, Miller And Lyons",Retail,Denial of Service,2019-05-08,4950575.0,3196317.57,Italy,Compromised Vendor,59,2019,5,8
19,Case-Williams,Manufacturing,Data Breach,2018-06-24,8576592.0,375937.85,Belgium,Insider Threat,16,2018,6,24
20,Hickman-Bishop,Healthcare,Phishing,2019-12-14,1944689.0,2218091.25,Belgium,Phishing,44,2019,12,14
21,"Ponce, Evans And Franco",Tech,Malware,2018-07-24,3900721.0,1705991.54,Uk,Compromised Vendor,16,2018,7,24
22,Lawrence Llc,Healthcare,Data Breach,2018-12-15,4950575.0,3340567.6,Spain,DDoS Attack,32,2018,12,15
23,Allen-Cox,Healthcare,Supply Chain Attack,2018-03-19,879829.0,450441.76,Spain,Phishing,31,2018,3,19
24,"Dean, Poole And Sloan",Healthcare,Supply Chain Attack,2018-05-08,3140526.0,2549634.58,Denmark,Compromised Vendor,48,2018,5,8
25,"Chapman, Davis And Shaw",Tech,Ransomware,2018-04-16,4950575.0,4501680.05,Sweden,Compromised Vendor,58,2018,4,16
26,Gates-Hughes,Tech,Phishing,2019-11-06,7014377.0,4172811.56,Spain,Malware Infection,48,2019,11,6
27,Odonnell Llc,Tech,Data Breach,2018-05-14,8241154.0,1914751.7,Italy,Phishing,53,2018,5,14
28,Marshall-Turner,Healthcare,Phishing,2018-03-15,4890375.0,3723434.03,Sweden,Spear Phishing,25,2018,3,15
29,Ryan-Adams,Retail,Data Breach,2019-03-16,1644273.0,1470921.1,Belgium,DDoS Attack,50,2019,3,16
30,Jones Ltd,Retail,Data Breach,2018-05-19,4950575.0,4893532.3,France,Compromised Vendor,20,2018,5,19
31,Hogan Group,Manufacturing,Phishing,2019-08-17,5136460.0,3576502.3,Denmark,Spear Phishing,26,2019,8,17
32,Gardner-Martin,Healthcare,Ransomware,2019-11-05,3775178.0,3351147.04,Uk,Phishing,24,2019,11,5
33,Lee Group,Telecommunications,Data Breach,2019-09-30,5994611.0,2741189.3,Belgium,Phishing,31,2019,9,30
34,Butler Group,Healthcare,Data Breach,2019-06-07,1091614.0,1329494.05,Sweden,DDoS Attack,43,2019,6,7
35,Owens Inc,Telecommunications,Phishing,2018-10-02,4950575.0,1313740.21,Italy,DDoS Attack,40,2018,10,2
36,Ray Ltd,Healthcare,Ransomware,2019-05-21,1480863.0,3760287.48,Uk,Insider Threat,40,2019,5,21
37,Peterson Ltd,Manufacturing,Ransomware,2018-05-31,3942465.0,3045073.05,Denmark,Insider Threat,10,2018,5,31
38,Richmond Group,Healthcare,Data Breach,2018-01-23,787325.0,2214855.74,Belgium,Phishing,57,2018,1,23
39,Warren Ltd,Healthcare,Ransomware,2018-05-01,9618715.0,886248.73,Sweden,Phishing,54,2018,5,1
40,Owens Plc,Manufacturing,Ransomware,2018-06-26,6180991.0,569242.32,Spain,Phishing,53,2018,6,26
41,Adams-Woods,Manufacturing,Supply Chain Attack,2018-07-16,8645927.0,1931425.94,Denmark,Compromised Vendor,24,2018,7,16
42,Cline Plc,Tech,Data Breach,2019-03-23,7418879.0,2042812.39,Spain,Compromised Vendor,17,2019,3,23
43,"Keith, Ward And Collins",Manufacturing,Phishing,2018-08-30,1146664.0,1068542.12,Sweden,Phishing,6,2018,8,30
44,"Castillo, Mann And Tucker",Finance,Malware,2019-08-20,2495194.0,390819.05,Belgium,Phishing,36,2019,8,20
45,"Diaz, Stokes And Walton",Healthcare,Phishing,2019-03-30,4194818.0,3510186.38,Belgium,Phishing,36,2019,3,30
46,Thomas-Medina,Tech,Ransomware,2018-09-18,3744640.0,3282848.4,Italy,Compromised Vendor,13,2018,9,18
47,"Anderson, Lowery And Coleman",Retail,Supply Chain Attack,2018-06-26,2965812.0,509548.64,Belgium,Phishing,37,2018,6,26
48,Powell-Compton,Healthcare,Ransomware,2019-07-27,8637008.0,1782702.02,Netherlands,Phishing,51,2019,7,27
49,"Wood, Green And Briggs",Retail,Malware,2018-04-27,4288293.0,2875984.19,Spain,DDoS Attack,46,2018,4,27
50,Gibson Ltd,Manufacturing,Phishing,2018-08-16,4950575.0,3086538.03,Belgium,DDoS Attack,45,2018,8,16
51,Elliott Llc,Tech,Data Breach,2018-10-23,1634958.0,1092347.08,Belgium,Compromised Vendor,34,2018,10,23
52,Gutierrez Plc,Retail,Supply Chain Attack,2018-12-25,7153353.0,3316107.31,Poland,Compromised Vendor,42,2018,12,25
53,Black Group,Healthcare,Data Breach,2018-06-16,1942859.0,1502088.07,Spain,Phishing,6,2018,6,16
54,Allen Plc,Manufacturing,Denial of Service,2018-02-17,135531.0,1941489.46,Uk,Compromised Vendor,45,2018,2,17
55,Turner-Andersen,Healthcare,Phishing,2019-05-10,8430459.0,866736.25,Netherlands,Compromised Vendor,16,2019,5,10
56,Chung-Smith,Retail,Ransomware,2018-07-30,3099365.0,2522020.59,Belgium,Compromised Vendor,10,2018,7,30
57,Moore Llc,Telecommunications,Malware,2019-12-05,3393918.0,4201328.32,Uk,Phishing,36,2019,12,5
58,Schaefer Llc,Manufacturing,Data Breach,2018-04-19,2394170.0,3753687.7,Sweden,Phishing,35,2018,4,19
59,Harrell Ltd,Healthcare,Ransomware,2019-06-19,3932431.0,3596753.51,Netherlands,Spear Phishing,17,2019,6,19
60,Jones Group,Healthcare,Ransomware,2019-12-18,7233363.0,4382198.85,Sweden,Compromised Vendor,36,2019,12,18
61,Smith-Flores,Tech,Ransomware,2018-11-18,4775772.0,785864.08,Germany,Insider Threat,22,2018,11,18
62,Porter Inc,Retail,Data Breach,2018-06-21,5072487.0,1905544.61,Sweden,Compromised Vendor,29,2018,6,21
63,Brooks-Mccormick,Telecommunications,Ransomware,2018-10-25,9587774.0,3748487.86,Spain,DDoS Attack,15,2018,10,25
64,"Robinson, Jenkins And Chang",Retail,Phishing,2018-06-18,9307256.0,1937445.4,Netherlands,DDoS Attack,28,2018,6,18
65,Duarte Inc,Retail,Supply Chain Attack,2019-04-24,3917221.0,2527229.46,Belgium,Insider Threat,17,2019,4,24
66,Reed Plc,Finance,Ransomware,2018-10-02,2229735.0,2882263.18,Uk,Compromised Vendor,41,2018,10,2
67,Mccarthy-Arnold,Tech,Ransomware,2019-06-29,6600952.0,2742069.12,Belgium,Compromised Vendor,54,2019,6,29
68,"White, Wright And Perez",Healthcare,Phishing,2018-08-02,9586716.0,3451655.12,France,DDoS Attack,20,2018,8,2
69,"Stewart, Medina And Walker",Healthcare,Phishing,2019-05-22,4168078.0,1189395.41,Belgium,Phishing,54,2019,5,22
70,Hansen Group,Healthcare,Supply Chain Attack,2018-09-09,9413344.0,1966344.19,Netherlands,Phishing,19,2018,9,9
71,"May, Curry And Miles",Healthcare,Ransomware,2019-04-18,7365522.0,3361005.03,Uk,Insider Threat,41,2019,4,18
72,"Wilson, Shields And Taylor",Retail,Ransomware,2018-07-06,7189422.0,724497.45,Sweden,Insider Threat,43,2018,7,6
73,"Taylor, Kerr And Cole",Telecommunications,Data Breach,2018-04-03,7254433.0,689147.4,Netherlands,Compromised Vendor,27,2018,4,3
74,"Patel, White And Ramsey",Healthcare,Supply Chain Attack,2018-10-23,9589930.0,1719709.89,Netherlands,Phishing,56,2018,10,23
75,Cruz-Smith,Healthcare,Supply Chain Attack,2019-01-25,537494.0,620716.1,Uk,Spear Phishing,28,2019,1,25
76,Knight And Sons,Tech,Ransomware,2019-10-29,5678320.0,3783736.99,Netherlands,Phishing,43,2019,10,29
77,Lara Group,Retail,Denial of Service,2018-02-03,2448615.0,4309641.25,Sweden,Phishing,19,2018,2,3
78,Carter Plc,Manufacturing,Malware,2018-12-09,218945.0,2359717.49,Germany,Compromised Vendor,14,2018,12,9
79,Murray Ltd,Manufacturing,Phishing,2018-07-11,5242358.0,2910789.73,Spain,Spear Phishing,8,2018,7,11
80,Johnson Inc,Healthcare,Data Breach,2019-05-12,398842.0,1784625.49,Spain,Compromised Vendor,30,2019,5,12
81,Wilkerson Group,Retail,Ransomware,2019-05-03,3045412.0,222245.21,Uk,DDoS Attack,32,2019,5,3
82,"Clayton, Moore And Smith",Retail,Ransomware,2019-01-16,4950575.0,2744832.65,Spain,Compromised Vendor,11,2019,1,16
83,Campbell-Cooley,Tech,Data Breach,2019-08-29,3726555.0,3181144.93,Sweden,Phishing,32,2019,8,29
84,Austin-Fowler,Healthcare,Data Breach,2019-10-19,5029177.0,2782243.31,Belgium,Phishing,23,2019,10,19
85,"Brown, Meza And Leonard",Healthcare,Ransomware,2018-05-19,9074439.0,2263636.88,Uk,Phishing,57,2018,5,19
86,"Parker, Walker And Horn",Retail,Data Breach,2019-07-16,1757491.0,3464081.52,Belgium,Compromised Vendor,46,2019,7,16
87,Werner Ltd,Healthcare,Malware,2018-10-31,303710.0,3899810.83,Sweden,Phishing,43,2018,10,31
88,Hebert Llc,Manufacturing,Ransomware,2019-12-29,5187889.0,2386164.95,Belgium,Compromised Vendor,18,2019,12,29
89,Sharp-Perry,Retail,Malware,2018-12-12,8126724.0,1685656.48,Belgium,Phishing,40,2018,12,12
90,"Marshall, Lowe And Allison",Telecommunications,Phishing,2019-01-06,6634216.0,178813.75,Belgium,DDoS Attack,43,2019,1,6
91,Tate-Kemp,Healthcare,Malware,2019-07-21,7527534.0,2684411.42,Belgium,DDoS Attack,49,2019,7,21
92,Medina-Taylor,Manufacturing,Supply Chain Attack,2019-09-24,2399094.0,2169494.04,Uk,Phishing,36,2019,9,24
93,"Schaefer, Allen And Burke",Tech,Supply Chain Attack,2019-01-26,8627454.0,1398876.35,Spain,Phishing,57,2019,1,26
94,"Allen, Figueroa And Morales",Healthcare,Data Breach,2018-10-21,4950575.0,3530176.12,Uk,Compromised Vendor,18,2018,10,21
95,Lopez Inc,Manufacturing,Supply Chain Attack,2018-01-26,6365301.0,3134241.8,Netherlands,DDoS Attack,55,2018,1,26
96,"Arias, Evans And Rocha",Retail,Phishing,2019-10-17,9391391.0,3987729.32,Netherlands,Phishing,29,2019,10,17
97,Holt-Williams,Manufacturing,Supply Chain Attack,2019-08-27,7500752.0,816308.36,Spain,DDoS Attack,39,2019,8,27
98,Vasquez Group,Retail,Supply Chain Attack,2018-12-04,8129984.0,1393534.84,Uk,DDoS Attack,13,2018,12,4
99,Joseph And Sons,Healthcare,Data Breach,2019-03-22,4421212.0,1518912.57,Belgium,Spear Phishing,23,2019,3,22
100,Moore-Salazar,Healthcare,Ransomware,2018-01-22,4146245.0,2301478.37,Italy,DDoS Attack,28,2018,1,22
101,Tucker Ltd,Manufacturing,Phishing,2018-05-08,4950575.0,1885346.63,Uk,DDoS Attack,8,2018,5,8
102,Johnson Group,Healthcare,Ransomware,2018-02-07,8213149.0,2322632.37,Italy,DDoS Attack,16,2018,2,7
103,"Wong, White And Tran",Healthcare,Data Breach,2019-01-02,4950575.0,2595342.81,Belgium,Compromised Vendor,19,2019,1,2
104,"Armstrong, Hayes And Kramer",Telecommunications,Supply Chain Attack,2019-03-26,1173390.0,1764374.56,Belgium,DDoS Attack,9,2019,3,26
105,Rivera-Reid,Retail,Supply Chain Attack,2019-06-09,4950575.0,4870404.61,Sweden,Compromised Vendor,5,2019,6,9
106,"Henson, Sullivan And Williams",Telecommunications,Phishing,2018-12-06,4950575.0,866734.41,Uk,Compromised Vendor,11,2018,12,6
