Incident ID,Company Name,Industry,Attack Type,Date of Incident,Breach Size (No. of Records),Financial Loss (USD),Country,Attack Vector,Mitigation Time (Days)
1,White Inc,Retail,Ransomware,2018-08-27,6525846.0,760223.1900000001,Italy,DDoS Attack,20.0
2,Vasquez PLC,Telecommunications,Ransomware,2018-05-24,9114896.0,2001602.3279999997,Netherlands,Compromised Vendor,31.900000000000002
3,Gardner LLC,Retail,Supply Chain Attack,2018-07-04,3412886.0,6110349.21,Belgium,Compromised Vendor,17.6
4,Pena-Kirk,Manufacturing,Ransomware,2018-02-05,5829814.0,4174307.7090000003,Belgium,Compromised Vendor,84.0
5,"Garcia, Butler and Kennedy",Healthcare,Ransomware,2019-04-05,9996201.0,8066084.14,UK,Compromised Vendor,88.5
6,Reyes and Sons,Telecommunications,Supply Chain Attack,2018-05-12,817225.0,1841649.372,Sweden,Phishing,8.8
7,Anderson-Vincent,Healthcare,Ransomware,2018-08-14,8813038.0,2861490.24,Belgium,Compromised Vendor,21.0
8,"Alvarado, Potts and Brown",Manufacturing,Ransomware,2018-07-30,,2417410.359,Netherlands,Compromised Vendor,29.4
9,Morton Ltd,Healthcare,Ransomware,2019-03-31,5256555.0,1766138.04,Spain,Compromised Vendor,79.5
10,"Sanchez, Phelps and Liu",Tech,Data Breach,2018-01-05,3600607.0,682214.47,Belgium,Phishing,42.0
11,Green-Koch,Healthcare,Phishing,2018-05-10,9462323.0,3340205.38,Sweden,DDoS Attack,58.5
12,Best LLC,Telecommunications,Supply Chain Attack,2018-04-27,1461135.0,5955992.376,Sweden,Compromised Vendor,36.300000000000004
13,Olson Group,Healthcare,Ransomware,2018-04-01,6036951.0,1885650.04,Sweden,DDoS Attack,55.5
14,Morales PLC,Healthcare,Phishing,2018-04-10,,2707999.74,Italy,Compromised Vendor,18.0
15,"Walker, Kelly and Mcdaniel",Finance,Ransomware,2019-05-08,6207687.0,457622.66,Sweden,DDoS Attack,55.0
16,"Williams, Mclaughlin and Taylor",Tech,Ransomware,2019-01-04,7791725.0,4653344.49,Spain,Phishing,35.0
17,Phillips-Perry,Telecommunications,Phishing,2019-10-28,9798075.0,1377534.108,Denmark,Phishing,58.300000000000004
18,"Gonzales, Miller and Lyons",Retail,Denial of Service,2019-05-08,,4794476.3549999995,Italy,Compromised Vendor,47.2
19,Case-Williams,Manufacturing,Data Breach,2018-06-24,8576592.0,488719.20499999996,Belgium,Insider Threat,22.4
20,Hickman-Bishop,Healthcare,Phishing,2019-12-14,1944689.0,4436182.5,Belgium,Phishing,66.0
21,"Ponce, Evans and Franco",Tech,Malware,2018-07-24,3900721.0,1705991.54,UK,Compromised Vendor,16.0
22,Lawrence LLC,Healthcare,Data Breach,2018-12-15,,6681135.2,Spain,DDoS Attack,48.0
23,Allen-Cox,Healthcare,Supply Chain Attack,2018-03-19,879829.0,900883.52,Spain,Phishing,46.5
24,"Dean, Poole and Sloan",Healthcare,Supply Chain Attack,2018-05-08,3140526.0,5099269.16,Denmark,Compromised Vendor,72.0
25,"Chapman, Davis and Shaw",Tech,Ransomware,2018-04-16,,4501680.05,Sweden,Compromised Vendor,58.0
26,Gates-Hughes,Tech,Phishing,2019-11-06,7014377.0,4172811.56,Spain,Malware Infection,48.0
27,Odonnell LLC,Tech,Data Breach,2018-05-14,8241154.0,1914751.7,Italy,Phishing,53.0
28,Marshall-Turner,Healthcare,Phishing,2018-03-15,4890375.0,7446868.06,Sweden,Spear Phishing,37.5
29,Ryan-Adams,Retail,Data Breach,2019-03-16,1644273.0,2206381.6500000004,Belgium,DDoS Attack,40.0
30,Jones Ltd,Retail,Data Breach,2018-05-19,,7340298.449999999,France,Compromised Vendor,16.0
31,Hogan Group,Manufacturing,Phishing,2019-08-17,5136460.0,4649452.99,Denmark,Spear Phishing,36.4
32,Gardner-Martin,Healthcare,Ransomware,2019-11-05,3775178.0,6702294.08,UK,Phishing,36.0
33,Lee Group,Telecommunications,Data Breach,2019-09-30,5994611.0,3289427.1599999997,Belgium,Phishing,34.1
34,Butler Group,Healthcare,Data Breach,2019-06-07,1091614.0,2658988.1,Sweden,DDoS Attack,64.5
35,Owens Inc,Telecommunications,Phishing,2018-10-02,,1576488.2519999999,Italy,DDoS Attack,44.0
36,Ray Ltd,Healthcare,Ransomware,2019-05-21,1480863.0,7520574.96,UK,Insider Threat,60.0
37,Peterson Ltd,Manufacturing,Ransomware,2018-05-31,3942465.0,3958594.965,Denmark,Insider Threat,14.0
38,Richmond Group,Healthcare,Data Breach,2018-01-23,787325.0,4429711.48,Belgium,Phishing,85.5
39,Warren Ltd,Healthcare,Ransomware,2018-05-01,9618715.0,1772497.46,Sweden,Phishing,81.0
40,Owens PLC,Manufacturing,Ransomware,2018-06-26,6180991.0,740015.016,Spain,Phishing,74.19999999999999
41,Adams-Woods,Manufacturing,Supply Chain Attack,2018-07-16,8645927.0,2510853.722,Denmark,Compromised Vendor,33.599999999999994
42,Cline PLC,Tech,Data Breach,2019-03-23,7418879.0,2042812.39,Spain,Compromised Vendor,17.0
43,"Keith, Ward and Collins",Manufacturing,Phishing,2018-08-30,1146664.0,1389104.7560000003,Sweden,Phishing,8.399999999999999
44,"Castillo, Mann and Tucker",Finance,Malware,2019-08-20,2495194.0,390819.05,Belgium,Phishing,36.0
45,"Diaz, Stokes and Walton",Healthcare,Phishing,2019-03-30,4194818.0,7020372.76,Belgium,Phishing,54.0
46,Thomas-Medina,Tech,Ransomware,2018-09-18,3744640.0,3282848.4,Italy,Compromised Vendor,13.0
47,"Anderson, Lowery and Coleman",Retail,Supply Chain Attack,2018-06-26,2965812.0,764322.96,Belgium,Phishing,29.6
48,Powell-Compton,Healthcare,Ransomware,2019-07-27,8637008.0,3565404.04,Netherlands,Phishing,76.5
49,"Wood, Green and Briggs",Retail,Malware,2018-04-27,4288293.0,4313976.285,Spain,DDoS Attack,36.800000000000004
50,Gibson Ltd,Manufacturing,Phishing,2018-08-16,,4012499.439,Belgium,DDoS Attack,62.99999999999999
51,Elliott LLC,Tech,Data Breach,2018-10-23,1634958.0,1092347.08,Belgium,Compromised Vendor,34.0
52,Gutierrez PLC,Retail,Supply Chain Attack,2018-12-25,7153353.0,4974160.965,Poland,Compromised Vendor,33.6
53,Black Group,Healthcare,Data Breach,2018-06-16,1942859.0,3004176.14,Spain,Phishing,9.0
54,Allen PLC,Manufacturing,Denial of Service,2018-02-17,135531.0,2523936.298,UK,Compromised Vendor,62.99999999999999
55,Turner-Andersen,Healthcare,Phishing,2019-05-10,8430459.0,1733472.5,Netherlands,Compromised Vendor,24.0
56,Chung-Smith,Retail,Ransomware,2018-07-30,3099365.0,3783030.885,Belgium,Compromised Vendor,8.0
57,Moore LLC,Telecommunications,Malware,2019-12-05,3393918.0,5041593.984,UK,Phishing,39.6
58,Schaefer LLC,Manufacturing,Data Breach,2018-04-19,2394170.0,4879794.010000001,Sweden,Phishing,49.0
59,Harrell Ltd,Healthcare,Ransomware,2019-06-19,3932431.0,7193507.02,Netherlands,Spear Phishing,25.5
60,Jones Group,Healthcare,Ransomware,2019-12-18,7233363.0,8764397.7,Sweden,Compromised Vendor,54.0
61,Smith-Flores,Tech,Ransomware,2018-11-18,4775772.0,785864.08,Germany,Insider Threat,22.0
62,Porter Inc,Retail,Data Breach,2018-06-21,5072487.0,2858316.915,Sweden,Compromised Vendor,23.200000000000003
63,Brooks-Mccormick,Telecommunications,Ransomware,2018-10-25,9587774.0,4498185.432,Spain,DDoS Attack,16.5
64,"Robinson, Jenkins and Chang",Retail,Phishing,2018-06-18,9307256.0,2906168.0999999996,Netherlands,DDoS Attack,22.400000000000002
65,Duarte Inc,Retail,Supply Chain Attack,2019-04-24,3917221.0,3790844.19,Belgium,Insider Threat,13.600000000000001
66,Reed PLC,Finance,Ransomware,2018-10-02,2229735.0,2882263.18,UK,Compromised Vendor,41.0
67,Mccarthy-Arnold,Tech,Ransomware,2019-06-29,6600952.0,2742069.12,Belgium,Compromised Vendor,54.0
68,"White, Wright and Perez",Healthcare,Phishing,2018-08-02,9586716.0,6903310.24,France,DDoS Attack,30.0
69,"Stewart, Medina and Walker",Healthcare,Phishing,2019-05-22,4168078.0,2378790.82,Belgium,Phishing,81.0
70,Hansen Group,Healthcare,Supply Chain Attack,2018-09-09,9413344.0,3932688.38,Netherlands,Phishing,28.5
71,"May, Curry and Miles",Healthcare,Ransomware,2019-04-18,7365522.0,6722010.06,UK,Insider Threat,61.5
